name,N,J,noise,periodic,beta,gamma,mean_degree,r_mean,alpha,Tc,participation_fraction,avg_internal_degree,n_components,largest_component_fraction
SD,500,1.0,1e-10,False,2.6100000000000003,6.01,20,0.5410001716400302,1.6159516598676875,26.3039262048118,0.3254348035081859,15.8,1,1.0
SD,500,1.0,1e-10,False,2.6100000000000003,6.01,20,0.5038765849941367,1.5936559489195412,31.21275393629141,0.1672773078026032,17.4,1,1.0
SD,500,1.0,1e-10,False,2.6100000000000003,6.01,20,0.5257098035441987,1.5975867638627697,25.459864101224397,0.2198571714805741,16.24,1,1.0
SD,500,1.0,1e-10,False,2.8100000000000005,6.01,20,0.5501995442806903,1.6095715386052123,24.178197219917887,0.2095862998124044,15.84,2,0.76
SD,500,1.0,1e-10,False,2.8100000000000005,6.01,20,0.5487027843635642,1.5964650602161785,33.90212502141165,0.1072357023808953,21.0,1,1.0
SD,500,1.0,1e-10,False,2.8100000000000005,6.01,20,0.4956266876169165,1.584870027302412,29.02135649835092,0.1406356260437866,18.28,1,1.0
SD,500,1.0,1e-10,False,2.8100000000000005,6.01,20,0.5166331013562175,1.5970807438495136,30.6588671027712,0.1448283502381982,18.28,1,1.0
SD,500,1.0,1e-10,False,3.0100000000000007,6.01,20,0.566221237620816,1.5899432666507225,30.068983841432267,0.129537110519564,18.72,1,1.0
SD,500,1.0,1e-10,False,3.0100000000000007,6.01,20,0.514359025530316,1.5922521212046283,32.50051985244575,0.116198126621438,20.88,1,1.0
SD,500,1.0,1e-10,False,3.0100000000000007,6.01,20,0.5470292229437008,1.5886106425671824,29.406032203912364,0.1261413761157953,20.08,1,1.0
SD,500,1.0,1e-10,False,3.0100000000000007,6.01,20,0.5396675603885042,1.5992883043817503,35.16973604242065,0.1070789266058344,22.2,1,1.0
SD,500,1.0,1e-10,False,3.210000000000001,6.01,20,0.5426894675732664,1.602818817866478,40.63889781615632,0.1155188963672474,25.4,1,1.0
SD,500,1.0,1e-10,False,3.210000000000001,6.01,20,0.5315485034256124,1.5877895803734816,32.596698325537055,0.1986556763317718,18.08,1,1.0
SD,500,1.0,1e-10,False,3.210000000000001,6.01,20,0.5378379026226848,1.6008414256404149,37.97868730384093,0.094891842341751,24.52,1,1.0
SD,500,1.0,1e-10,False,3.210000000000001,6.01,20,0.5582572345009623,1.591125163800408,27.66665510914786,0.1167473610863311,19.76,1,1.0
SD,500,1.0,1e-10,False,3.410000000000001,6.01,20,0.5282873880028093,1.5859052928889272,31.18544377214235,0.0831587034437932,20.36,1,1.0
SD,500,1.0,1e-10,False,3.410000000000001,6.01,20,0.5012024430535835,1.5943015034884265,33.153476553623335,0.1960114220155065,16.96,1,1.0
SD,500,1.0,1e-10,False,3.410000000000001,6.01,20,0.529288501711445,1.721369355192118,23.794950477942976,0.2380749166123132,15.0,1,1.0
SD,500,1.0,1e-10,False,3.410000000000001,6.01,20,0.5334987463180533,1.5825660363097218,30.8789255980144,0.1163565852830484,20.52,1,1.0
SD,500,1.0,1e-10,False,3.610000000000001,6.01,20,0.5211668530362985,1.598823043180931,36.96011734208021,0.112399238453167,23.8,1,1.0
SD,500,1.0,1e-10,False,3.610000000000001,6.01,20,0.5423816086107498,1.5813562003729968,29.049520104173283,0.1118060396886427,18.76,1,1.0
SD,500,1.0,1e-10,False,3.610000000000001,6.01,20,0.5422536809149611,1.5949870620583666,35.51999988780601,0.1290836140208172,22.04,1,1.0
SD,500,1.0,1e-10,False,3.610000000000001,6.01,20,0.5293514280793433,1.5958340385322771,34.68865543820712,0.1391718341337878,21.44,1,1.0
SD,500,1.0,1e-10,False,3.8100000000000014,6.01,20,0.527269294234428,1.594055635685054,32.582797256754546,0.1101953418912212,21.08,1,1.0
SD,500,1.0,1e-10,False,3.8100000000000014,6.01,20,0.5498624625359654,1.5933071469850426,33.74895777386938,0.1142376743608601,20.84,1,1.0
SD,500,1.0,1e-10,False,3.8100000000000014,6.01,20,0.5124159444055574,1.5992805044311411,37.49515910276445,0.1027530566980803,22.8,1,1.0
SD,500,1.0,1e-10,False,3.8100000000000014,6.01,20,0.5413177148205169,1.6044252692061003,33.08743974431019,0.1045238318720703,21.32,1,1.0
SD,500,1.0,1e-10,False,4.010000000000002,6.01,20,0.5412560381909959,1.602343816813028,39.0525876400102,0.1142773809001595,24.04,1,1.0
SD,500,1.0,1e-10,False,4.010000000000002,6.01,20,0.5547798196372309,1.585971324293748,29.583634285126273,0.1581731067305003,17.84,1,1.0
SD,500,1.0,1e-10,False,4.010000000000002,6.01,20,0.5309671315072056,1.589710177696315,31.65479939916404,0.1078933512715127,20.12,1,1.0
SD,500,1.0,1e-10,False,4.010000000000002,6.01,20,0.5345950129762571,1.5784617859090844,28.996455673803126,0.1193009354355574,19.32,1,1.0
SD,500,1.0,1e-10,False,4.210000000000002,6.01,20,0.5015587177323699,1.5932727851276092,34.640394108246646,0.1065149326081653,22.72,1,1.0
SD,500,1.0,1e-10,False,4.210000000000002,6.01,20,0.5223952130665516,1.6051462913551415,22.766446257805526,0.1406560504684124,18.04,1,1.0
SD,500,1.0,1e-10,False,4.210000000000002,6.01,20,0.5452724529248352,1.593943543043007,34.30244670156432,0.083439970322307,23.24,1,1.0
SD,500,1.0,1e-10,False,4.210000000000002,6.01,20,0.5340955733613425,1.5934536096896892,34.591212783009446,0.0982409258641798,22.92,1,1.0
SD,500,1.0,1e-10,False,4.410000000000002,6.01,20,0.548161733287157,1.5876312013956628,32.2149251885146,0.0752091729865565,21.52,1,1.0
SD,500,1.0,1e-10,False,4.410000000000002,6.01,20,0.559774926891654,1.582446653060188,31.106412205596765,0.0895548972623179,20.72,1,1.0
SD,500,1.0,1e-10,False,4.410000000000002,6.01,20,0.5586851088440417,1.655121074281407,25.872685609084595,0.1561817169702495,18.04,1,1.0
SD,500,1.0,1e-10,False,4.410000000000002,6.01,20,0.5327388532220979,1.6041778368526145,37.255292375689464,0.0777688021938447,25.56,1,1.0
SD,500,1.0,1e-10,False,4.610000000000002,6.01,20,0.5524795345980938,1.6043837532416432,41.16770742723707,0.10945870753447,25.48,1,1.0
SD,500,1.0,1e-10,False,4.610000000000002,6.01,20,0.5401361329958754,1.5897235284356446,32.70891999763247,0.087550915573819,21.08,1,1.0
SD,500,1.0,1e-10,False,4.610000000000002,6.01,20,0.538847138540447,2.005403560227023,20.660197902859203,0.0908562904213284,22.76,1,1.0
SD,500,1.0,1e-10,False,4.610000000000002,6.01,20,0.535543043764324,1.5958278721940216,34.80325226136655,0.0904352219986499,24.16,1,1.0
SD,500,1.0,1e-10,False,4.810000000000002,6.01,20,0.5387712595291348,1.6005832436585588,38.43619298273003,0.0764331315855532,24.36,1,1.0
