run_id,name,N,J,noise,periodic,beta,gamma,mean_degree,first_moment,second_moment,r_mean,alpha,Tc,gap_0,participation_fraction,avg_internal_degree,n_components,largest_component_fraction
20260409_194700_185106,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.1845,257.862,0.5292175351894258,1.5704461216710404,23.806019201755817,0.6661501434520254,0.04368545672205157,14.24,1,1.0
20260409_194713_632150,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.105,257.195,0.5283205288699062,1.577674848247458,25.408158208934584,1.088764394715934,0.016247505840733208,13.52,1,1.0
20260409_194726_894881,SD,4000,1.0,1e-10,False,1.61,6.01,15,14.9675,251.6165,0.5367301132825787,1.5713512902818467,24.142377330965797,0.2559579117978501,0.05133901548863108,13.735,2,0.9975
20260409_194740_789828,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.084,255.165,0.5295576806246566,1.5753770093027302,25.111277155863124,0.34684840693530816,0.0174337568277777,12.95,1,1.0
20260409_194753_920324,SD,4000,1.0,1e-10,False,1.61,6.01,15,14.9515,253.63,0.5336827600002859,1.5837440908180536,27.480287646880306,1.5157903477368535,0.02108431156730469,15.61,1,1.0
20260409_194813_130439,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.0145,252.779,0.5396873114875508,1.567947349406262,23.41640309836334,0.47898603443390186,0.03663989584978748,13.145,3,0.995
20260409_194828_922166,SD,4000,1.0,1e-10,False,9.61,6.01,15,14.708,244.0645,0.38729991094401817,1.56010901584563,27.890185352866453,0.3360074438646272,0.007955818726444748,15.075,1,1.0
20260409_194844_331983,SD,4000,1.0,1e-10,False,9.61,6.01,15,14.816,248.5575,0.3875120573296431,1.57669658658753,31.36443521886028,1.0560282362255862,0.008293141128064613,15.8,1,1.0
20260409_194901_680873,SD,4000,1.0,1e-10,False,9.61,6.01,15,14.8065,249.1765,0.3903188586444433,1.576077503478386,31.318471040254515,0.16515470016087264,0.007988057765355926,15.85,2,0.9275
20260409_194916_204874,SD,4000,1.0,1e-10,False,9.61,6.01,15,14.757,247.4605,0.39317536696652283,1.579417215239243,31.77176860734164,0.13213365151474576,0.008141574462683376,15.465,2,0.9975
20260409_194930_887462,SD,4000,1.0,1e-10,False,9.61,6.01,15,14.8305,249.348,0.387296330680084,1.5693709950295416,29.627206565491154,0.7012376124755484,0.008031983305849897,17.585,1,1.0
20260409_194944_350934,SD,4000,1.0,1e-10,False,9.61,6.01,15,14.735,243.916,0.39108065371536294,1.5692547734774727,28.716858753098816,0.15158442634580283,0.0119975098863717,15.315,1,1.0
20260409_194955_478595,SD,3607,1.0,1e-10,False,9.61,6.01,15,14.746881064596618,248.25173274189078,0.3849166179045298,1.5792908651092978,32.70515977572242,0.4234303237520649,0.009934492726493774,17.977839335180054,2,0.7922437673130194
20260409_195010_516992,SD,4000,1.0,1e-10,False,9.61,6.01,15,14.6335,242.757,0.4007489758129061,1.5806713589747814,32.06380615450132,1.6675157387102963,0.011071866133221397,15.72,1,1.0
20260409_195024_072986,SD,4000,1.0,1e-10,False,9.61,6.01,15,14.7485,245.9585,0.39398400017272583,1.5894759823029219,36.653177225968456,3.5471239139706654,0.008118220094681066,16.535,1,1.0
20260409_195037_343857,SD,4000,1.0,1e-10,False,9.61,6.01,15,14.5675,240.645,0.3963457824652678,1.5874579761548633,35.01777612343558,2.5591021437259727,0.009515048810165265,15.34,2,0.9925
20260409_195049_676197,SD,3873,1.0,1e-10,False,9.61,6.01,15,14.837593596695068,248.23599277046216,0.39730427176322863,1.5481741798107158,26.199001811383493,0.19810928732597688,0.00814214950017044,16.185567010309278,1,1.0
20260409_195104_054135,SD,4000,1.0,1e-10,False,9.61,6.01,15,14.749,245.3795,0.3799212441621894,1.5790861809332704,31.8585881417912,0.8597565562777945,0.007321827652080071,15.22,1,1.0
20260409_195119_481947,SD,4000,1.0,1e-10,False,9.61,6.01,15,14.7845,246.578,0.3910518162246946,1.5868817034659795,34.77982500401571,3.2378514690080777,0.008431787018059592,14.975,1,1.0
20260409_195133_955342,SD,4000,1.0,1e-10,False,9.61,6.01,15,14.7635,245.756,0.39272452787983786,1.5871788471667485,35.11322638767222,2.957523913282074,0.009992125583683257,14.445,1,1.0
20260409_195147_478442,SD,4000,1.0,1e-10,False,9.61,6.01,15,14.7085,243.1955,0.4055277240381652,1.5868096280229174,34.621326704650606,2.935151435085583,0.0077839384039398215,15.645,1,1.0
20260409_195200_753214,SD,4000,1.0,1e-10,False,9.61,6.01,15,14.5985,238.8605,0.39092176908172926,1.5763829307903392,30.194783620929325,1.207073468156775,0.013278485380757592,15.42,1,1.0
20260409_195214_058101,SD,4000,1.0,1e-10,False,9.61,6.01,15,14.754,246.573,0.38827195700685396,1.5821782378355174,31.976561253765524,0.1117290787175591,0.009077991457517316,15.745,2,0.9325
20260409_195227_363360,SD,4000,1.0,1e-10,False,9.61,6.01,15,14.6795,242.498,0.39930402174030416,1.5562168395940752,26.990253989113707,0.31726010088185674,0.0067469781857022815,14.735,1,1.0
20260409_195242_782570,SD,4000,1.0,1e-10,False,9.61,6.01,15,14.6625,245.0935,0.3906430178521113,1.5865766816820188,35.71757787332139,0.9612574535589182,0.009239001628716794,15.83,6,0.9075
20260409_195256_059328,SD,4000,1.0,1e-10,False,9.61,6.01,15,14.7375,246.5235,0.39128740059629147,1.5714901250719224,30.181285230035076,0.2452213148178437,0.007695481804259301,15.395,1,1.0
20260409_195309_345623,SD,4000,1.0,1e-10,False,9.61,6.01,15,14.661,242.234,0.39556394128684197,1.5779265354643428,31.58789021894698,0.9491070254755734,0.007406786862679207,14.895,1,1.0
20260409_195322_640626,SD,4000,1.0,1e-10,False,9.61,6.01,15,14.658,242.3785,0.3861584302824042,1.5789491751424176,31.52840616126815,0.7605178490891014,0.007568636637060826,15.77,1,1.0
20260409_195337_014409,SD,4000,1.0,1e-10,False,9.61,6.01,15,14.8,247.204,0.40317969051919855,1.5707710460456168,29.969801112002813,0.5818476407933417,0.007539514162347283,14.565,2,0.9625
20260409_195350_337342,SD,4000,1.0,1e-10,False,9.61,6.01,15,14.8965,252.5255,0.3971960202531789,1.5830626963420302,31.97105263456633,0.09881329562385233,0.010441771859672693,16.44,1,1.0
20260409_195405_514626,SD,3954,1.0,1e-10,False,9.61,6.01,15,14.742539200809308,246.70561456752657,0.39919262202977507,1.5860957022142959,34.7523755232018,1.5264544152038582,0.008833503969523367,15.474747474747474,1,1.0
