run_id,name,N,J,noise,periodic,beta,gamma,mean_degree,first_moment,second_moment,r_mean,dyson_beta,alpha,Tc,gap0,ipr,participation_fraction,avg_internal_degree,n_components,largest_component_fraction
20260428_194912_407374,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.2605,224.517,0.3879994921832497,-0.1295416861540889,1.5803813159020041,31.572984122467368,930.6737085326491,0.031242267909340083,0.008001979905090719,15.945,6,0.8125
20260428_194926_028503,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.0415,215.066,0.38307038985396175,-0.20646187363533772,1.595169966934645,25.333522433028158,21.917182466532402,0.0366307532120342,0.006824866487262626,15.015,2,0.8825
20260428_194938_966264,SD,3803,1.0,1e-10,False,10.01,8.01,15,14.090980804627925,217.03549829082303,0.3923948848895328,-0.09491106236367382,1.5801568661738814,30.430913937933745,595.544408213203,0.03471576511662217,0.0075743772752669405,14.073490813648293,7,0.7585301837270341
20260428_194954_189136,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.1545,220.1745,0.3875122925290343,-0.12896236456239044,1.583891089452626,32.71826541964098,431.5733917621971,0.029844107346909,0.008376863046831686,16.415,4,0.9125
20260428_195008_391351,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.1945,222.2775,0.3872381517549443,-0.1721489990666906,1.5825916483651101,32.068741612748994,908.8110644554703,0.030172088347221123,0.008285803658102612,12.905,22,0.8075
20260428_195022_045362,SD,4000,1.0,1e-10,False,10.01,8.01,15,13.966,213.3465,0.40025260294135273,-0.11048168321340719,1.559286561040099,26.030694189856757,171.8181218817474,0.03370749978849294,0.007416747061297763,15.03,3,0.8825
20260428_195041_299103,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.0535,216.137,0.3978610997941988,-0.1087538278056548,1.5599311361592347,26.336229496992527,147.54596909104373,0.03548294931384222,0.00704563754801726,14.91,3,0.8825
20260428_195055_359422,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.023,215.175,0.391827250272145,-0.18309800669488446,1.5817399833398833,31.18227992932641,586.9541650305703,0.03588323204340648,0.006967042425208109,15.035,2,0.9425
20260428_195110_573599,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.06,216.129,0.38568641019948097,-0.09499683544594392,1.5806040630823752,30.512086320605764,1124.0078738205716,0.031794562982912125,0.007862979596051112,15.285,1,1.0
20260428_195124_876831,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.087,217.4785,0.39307809850918385,-0.15652814235950846,1.5759419615057186,29.626333603369208,317.0451249114301,0.03301429489928478,0.007572477339366591,15.565,3,0.8225
20260428_195141_725101,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.2105,223.666,0.3878794225662285,-0.1131114796529675,1.5876938764358504,34.943057577152736,1362.265487856362,0.027574497980920952,0.009066348195095966,16.205,3,0.9175
20260428_195157_219697,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.18,220.5875,0.3845460207407579,-0.16698943582043435,1.5734344688722868,29.30837583402683,311.09762938092473,0.036295855676936106,0.006887838717048359,15.03,4,0.82
20260428_195211_626191,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.1715,220.156,0.3957824340956087,-0.13729238490165113,1.58055030454429,30.93449864865069,1059.8581619243462,0.03351794175595981,0.007458691879716857,14.59,6,0.74
20260428_195228_971008,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.1025,216.8745,0.3998291353684549,-0.09380392520148319,1.5767206236975773,29.28407557970256,733.5170236453822,0.032674097745256064,0.007651320686775425,14.42,7,0.69
20260428_195247_075985,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.0905,218.07,0.3891513014528902,-0.17725952559804922,1.5602210601880118,26.7132250917102,294.74860033604307,0.03454530102459854,0.007236874266111719,14.58,4,0.825
20260428_195306_344430,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.1585,220.838,0.3900817490007409,-0.14551446117007227,1.5742664494472838,29.49322834573702,587.735079437755,0.033547793698027316,0.007452054887731724,14.37,6,0.775
20260428_195321_157771,SD,3688,1.0,1e-10,False,10.01,8.01,15,14.144793926247289,219.38611713665944,0.38604970263086563,-0.17439302047505806,1.878768330944016,17.819643960754366,4.697987849601145,0.03068335506297669,0.008837028221453087,16.476964769647697,1,1.0
20260428_195336_328570,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.144,220.3925,0.3880084594302844,-0.08409723600413087,1.586193140626006,33.383314304279054,1586.3076200416845,0.02945469243001966,0.008487611968584156,15.265,3,0.92
20260428_195352_445531,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.156,220.8485,0.40093200114861727,-0.09584804110434511,1.5721512289533834,29.632642517745115,122.872584725772,0.032177437723867434,0.007769419123591805,15.25,4,0.8
20260428_195408_180222,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.0705,216.7125,0.3839262435426936,-0.17088324329130336,1.5866830663475346,33.0742562228092,2423.700967583916,0.022606156018850944,0.01105893455709713,14.33,9,0.7875
20260428_195420_752089,SD,3643,1.0,1e-10,False,10.01,8.01,15,14.305242931649738,224.3832006587977,0.4028034383227302,-0.09998190321629342,1.5781480951171931,30.253421504606393,890.8631158037236,0.030869568897552473,0.008892221338248962,14.810958904109588,3,0.9260273972602739
20260428_195435_212363,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.17,222.3335,0.3898376657913709,-0.1210690662246104,1.5770608605219087,31.03991456458197,236.31501942180995,0.02639642819560711,0.009470978351593985,15.32,4,0.8375
20260428_195449_652441,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.1325,220.1375,0.3855042541604283,-0.21423626576064228,1.5827457630428998,32.02984294423969,1073.6290211567264,0.03376620657797261,0.007403852115359845,14.775,14,0.495
20260428_195500_389118,SD,2447,1.0,1e-10,False,10.01,8.01,15,14.31630568042501,226.39967306906416,0.3949480579343604,-0.16126782799662745,1.586326869246453,33.024294378812186,1061.1019833526345,0.03375084111397032,0.012108251418676457,14.49795918367347,1,1.0
20260428_195514_831872,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.0925,218.2025,0.387852923693697,-0.16027308230681217,1.5839333139490468,32.60207981624336,643.0932095617038,0.03165459068735804,0.00789774862259846,15.155,5,0.8875
20260428_195529_491070,SD,3841,1.0,1e-10,False,10.01,8.01,15,14.28325956782088,224.03228325956783,0.38015369745705774,-0.14227159058904743,1.569714872984845,28.541306567666673,315.5719469694434,0.032836022958219475,0.007928757627368397,14.817708333333334,2,0.9270833333333334
20260428_195546_938316,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.252,224.7605,0.39061695979678485,-0.1581602132527196,1.6898396737439916,23.724408913994893,10.212595610082465,0.03536812146358519,0.007068512254952486,15.445,4,0.7275
20260428_195600_783065,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.282,224.575,0.3920877849547429,-0.12068415059863052,1.5735578034961637,30.59759692812531,147.17836672464207,0.03272157495880748,0.007640219039417261,16.08,3,0.84
20260428_195616_924295,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.037,215.7575,0.3941524504673504,-0.12142708842291203,1.5789658684201215,30.399890690911707,642.3039924942312,0.03419563787588668,0.007310874004087213,14.94,4,0.92
