run_id,degree,sum_prob
20260409_182521_184100,12,0.017850090756121338
20260409_182521_184100,9,0.0029869231979309484
20260409_182521_184100,24,0.06241171471260471
20260409_182521_184100,20,0.08371789704250128
20260409_182521_184100,14,0.012751928305944418
20260409_182521_184100,16,0.04938694190989023
20260409_182521_184100,27,0.05213621234676921
20260409_182521_184100,32,0.005911477172170351
20260409_182521_184100,29,0.04966715939330722
20260409_182521_184100,30,0.024364264408361258
20260409_182521_184100,8,0.001913957593840277
20260409_182521_184100,7,0.00040765912021879764
20260409_182521_184100,19,0.03714559668910772
20260409_182521_184100,34,0.00034397686269092533
20260409_182521_184100,5,8.67737945688729e-06
20260409_182521_184100,25,0.033019643353221724
20260409_182521_184100,6,4.6944743789863775e-05
20260409_182521_184100,53,0.0016187078552261506
20260409_182521_184100,33,0.02714377454226029
20260409_182521_184100,39,0.0010897840503465805
20260409_182521_184100,35,0.0005355396782937306
20260409_182521_184100,28,0.027594345917700915
20260409_182521_184100,38,9.111184935660088e-05
20260409_182521_184100,51,0.0012725942899384933
20260409_182521_184100,37,0.01294915558053069
20260409_182521_184100,41,0.00028170269608358107
20260409_182521_184100,36,0.00640337662510981
20260409_182521_184100,48,0.000581721920763263
20260409_182521_184100,47,0.04744934764029514
20260409_182521_184100,58,0.0003471349427601863
20260409_182521_184100,50,3.2536159762033215e-05
20260409_182521_184100,52,2.7965499911357716e-05
20260409_182521_184100,4,2.122387754969355e-06
20260409_182521_184100,3,5.1871430469872754e-08
20260409_182533_908593,6,0.00010996979564149238
20260409_182533_908593,14,0.044590389226065966
20260409_182533_908593,10,0.005531607617497855
20260409_182533_908593,15,0.05309429542618903
20260409_182533_908593,13,0.02477493542461484
20260409_182533_908593,12,0.017434293095750075
20260409_182533_908593,22,0.0733157268373875
20260409_182533_908593,24,0.04475089805422576
20260409_182533_908593,21,0.053756760329171475
20260409_182533_908593,16,0.060806457114036004
20260409_182533_908593,7,0.0010827487663484117
20260409_182533_908593,19,0.058481499561097564
20260409_182533_908593,25,0.040981529866152874
20260409_182533_908593,11,0.009595628354230454
20260409_182533_908593,18,0.07573955947828025
20260409_182533_908593,20,0.028363840899077623
20260409_182533_908593,17,0.074801098029798
20260409_182533_908593,8,0.0012868977688449308
20260409_182533_908593,23,0.03287446098149022
20260409_182533_908593,32,0.025664091251087574
20260409_182533_908593,9,0.006405385965648597
20260409_182533_908593,27,0.013538512836698973
20260409_182533_908593,28,0.018633021406321146
20260409_182533_908593,36,0.00015918525122090741
20260409_182533_908593,29,0.02725036123144362
20260409_182533_908593,31,0.00026904228779027473
20260409_182533_908593,26,0.041433797096237644
20260409_182533_908593,39,0.053272692424317716
20260409_182533_908593,45,0.04302360867055662
20260409_182533_908593,38,0.023048380387382786
20260409_182533_908593,33,0.00027798113687435143
20260409_182533_908593,57,0.0005402121723048025
20260409_182533_908593,35,0.0017880429889932995
20260409_182533_908593,30,0.00729817774218085
20260409_182533_908593,49,1.4179730835874348e-05
20260409_182533_908593,50,0.018409841273598477
20260409_182533_908593,63,0.0004448193394876491
20260409_182533_908593,34,9.411907077820597e-05
20260409_182533_908593,41,0.004045805087883681
20260409_182533_908593,5,3.759723503145838e-05
20260409_182533_908593,37,0.0009174186480280636
20260409_182533_908593,46,0.003202008790748674
20260409_182533_908593,47,0.008632363479514902
20260409_182533_908593,42,0.00022657663025948756
20260409_182533_908593,4,1.7952807692138158e-07
20260409_182533_908593,2,1.7107972436045918e-09
20260409_182546_528935,14,0.03421233769384444
20260409_182546_528935,11,0.010407766274306366
20260409_182546_528935,15,0.06221781941073537
20260409_182546_528935,52,0.0013196680449712114
20260409_182546_528935,17,0.04707442453349028
20260409_182546_528935,12,0.021578521485392854
20260409_182546_528935,13,0.04823406626121805
20260409_182546_528935,22,0.052773141479629145
20260409_182546_528935,10,0.004907671750877908
20260409_182546_528935,18,0.07538394684049098
20260409_182546_528935,21,0.05851614708604935
20260409_182546_528935,25,0.049290478486863396
20260409_182546_528935,38,0.0005357882851601066
20260409_182546_528935,9,0.0023481537054740815
20260409_182546_528935,23,0.03947511437757178
20260409_182546_528935,28,0.015490156867589092
20260409_182546_528935,24,0.02154315563156661
20260409_182546_528935,31,0.028623667004996738
20260409_182546_528935,16,0.057303026531839156
20260409_182546_528935,26,0.03398568746257265
20260409_182546_528935,19,0.06128738522800205
20260409_182546_528935,8,0.002602143314294166
20260409_182546_528935,27,0.0031701351255599857
20260409_182546_528935,36,0.0003693644096152916
20260409_182546_528935,30,0.027444873486644015
20260409_182546_528935,20,0.07808248342811176
20260409_182546_528935,40,0.0001743349825124488
20260409_182546_528935,34,0.05808598024183538
20260409_182546_528935,48,0.02195488129166631
20260409_182546_528935,42,0.0007306281081445594
20260409_182546_528935,49,2.4280405786058223e-05
20260409_182546_528935,7,0.00036187102535819833
20260409_182546_528935,5,5.446307396700004e-05
20260409_182546_528935,29,0.011803882794639314
20260409_182546_528935,39,9.222960137551102e-05
20260409_182546_528935,43,0.0004787274535641697
20260409_182546_528935,37,0.0004634654582235985
20260409_182546_528935,6,0.00014999464146725
20260409_182546_528935,3,3.63761655549902e-07
20260409_182546_528935,4,2.494680739039705e-06
20260409_182546_528935,45,4.04978902651346e-05
20260409_182546_528935,47,0.0327854513279395
20260409_182546_528935,33,0.006161018843428392
20260409_182546_528935,32,9.615886213505307e-05
20260409_182546_528935,41,0.02831725343635822
20260409_182546_528935,35,4.489791207188272e-05
20260409_182559_570784,13,0.03485735574147703
20260409_182559_570784,18,0.05370214747449663
20260409_182559_570784,11,0.006845344828231776
20260409_182559_570784,14,0.04385195128958771
20260409_182559_570784,16,0.046512687786122574
20260409_182559_570784,17,0.08211078174176636
20260409_182559_570784,15,0.041177132939565486
20260409_182559_570784,28,0.0003557681633111094
20260409_182559_570784,10,0.005853896753603597
20260409_182559_570784,27,0.012104635179250423
20260409_182559_570784,19,0.07835496032655785
20260409_182559_570784,23,0.079153498834264
20260409_182559_570784,6,0.00023272037016458747
20260409_182559_570784,22,0.048109672355738424
20260409_182559_570784,21,0.038391678624987546
20260409_182559_570784,12,0.010231779407450826
20260409_182559_570784,9,0.003204969088023423
20260409_182559_570784,29,0.006445845582251315
20260409_182559_570784,37,0.032698767182030145
20260409_182559_570784,7,0.0005067703992243912
20260409_182559_570784,20,0.053709749199874125
20260409_182559_570784,26,0.02732675495205773
20260409_182559_570784,30,0.04716180932976876
20260409_182559_570784,25,0.039932544203360475
20260409_182559_570784,24,0.053796133626831485
20260409_182559_570784,32,0.009026569866523995
20260409_182559_570784,33,0.020795869008978833
20260409_182559_570784,36,0.018252643312582913
20260409_182559_570784,8,0.0014951443106031245
20260409_182559_570784,35,1.0762206162796175e-05
20260409_182559_570784,34,0.013366118692072725
20260409_182559_570784,55,2.6927454899308033e-05
20260409_182559_570784,40,0.02539931117772253
20260409_182559_570784,38,0.03297187777555723
20260409_182559_570784,41,3.4658250718505296e-05
20260409_182559_570784,39,4.66595782938969e-05
20260409_182559_570784,43,2.0374419643727325e-05
20260409_182559_570784,2,6.604663381535014e-09
20260409_182559_570784,4,5.925466050923084e-05
20260409_182559_570784,46,0.00754766950604618
20260409_182559_570784,31,0.023732959952923443
20260409_182559_570784,47,7.129219437459907e-05
20260409_182559_570784,48,1.1070418406920456e-05
20260409_182559_570784,5,6.024285574809074e-05
20260409_182559_570784,53,0.00044109033397585705
20260409_182559_570784,3,1.4203959466688267e-07
20260409_182613_477068,8,0.0005339351405674584
20260409_182613_477068,16,0.035207761682174
20260409_182613_477068,7,0.00022729337200367512
20260409_182613_477068,13,0.017639004041198114
20260409_182613_477068,12,0.012546184543484306
20260409_182613_477068,10,0.003658003277672714
20260409_182613_477068,15,0.04339819421450407
20260409_182613_477068,9,0.000825068161854035
20260409_182613_477068,20,0.05220531561669028
20260409_182613_477068,24,0.06580854032351961
20260409_182613_477068,11,0.009687616295600306
20260409_182613_477068,14,0.035695817163336016
20260409_182613_477068,17,0.054396140127317076
20260409_182613_477068,18,0.039958438073441044
20260409_182613_477068,19,0.051292096522141915
20260409_182613_477068,29,0.06749604831051388
20260409_182613_477068,6,0.00019926583888746225
20260409_182613_477068,38,0.0006567920893313205
20260409_182613_477068,42,0.017427134351035087
20260409_182613_477068,21,0.050576622381667345
20260409_182613_477068,28,0.028989290905230315
20260409_182613_477068,31,0.004845735734931646
20260409_182613_477068,23,0.091073349033825
