name,N,J,noise,periodic,beta,gamma,r_mean,alpha,Tc,participation_fraction,avg_internal_degree,n_components,largest_component_fraction
SD,2000,1.0,1e-10,False,2.01,2.21,0.5352912571388831,1.6063283194463018,121.51967240260403,0.03890981500025989,49.14,1,1.0
SD,2000,1.0,1e-10,False,2.01,2.21,0.5338716804591761,1.6062864341068726,119.357040365401,0.03833934006938871,47.26,1,1.0
SD,1999,1.0,1e-10,False,2.21,2.21,0.5388634572362121,1.6063554697239657,123.5305336462758,0.03727431554885911,49.82,1,1.0
SD,1998,1.0,1e-10,False,2.21,2.21,0.5414951298541931,1.6063893615600051,124.54696837122532,0.036754277636833255,49.93,1,1.0
SD,1999,1.0,1e-10,False,2.21,2.21,0.5325223770086447,1.6063400993024068,122.93925993859656,0.038225444475993256,50.01,1,1.0
SD,2000,1.0,1e-10,False,2.21,2.21,0.5336576237705775,1.6063381830331573,121.97278233265524,0.03792727408190019,49.21,1,1.0
SD,2000,1.0,1e-10,False,2.41,2.21,0.5102163798371624,1.6063726854162723,124.3384639614157,0.035740490402476795,49.75,1,1.0
SD,1999,1.0,1e-10,False,2.41,2.21,0.518156048054109,1.6063461439605229,122.80900430338825,0.037987989857913004,48.33,1,1.0
SD,1999,1.0,1e-10,False,2.41,2.21,0.535362216097762,1.606385566336121,124.59752376376294,0.036947688871005205,49.69,1,1.0
SD,2000,1.0,1e-10,False,2.41,2.21,0.5272543964145112,1.606376660800092,124.4642304184064,0.039090368410673,49.94,1,1.0
SD,2000,1.0,1e-10,False,2.6100000000000003,2.21,0.524739839602169,1.606368324978726,125.12451425047468,0.03866988096694971,50.66,1,1.0
SD,1999,1.0,1e-10,False,2.6100000000000003,2.21,0.5452985952154009,1.6064028528385172,125.68028528460636,0.0379013163272092,50.43,1,1.0
SD,1999,1.0,1e-10,False,2.6100000000000003,2.21,0.5397374380714335,1.6064099810651853,126.25801190675203,0.038227148797983425,50.85,1,1.0
SD,2000,1.0,1e-10,False,2.6100000000000003,2.21,0.5402744734851087,1.6063919628833143,125.84296331985796,0.03831303588912974,50.68,1,1.0
SD,1999,1.0,1e-10,False,2.8100000000000005,2.21,0.5218281411978776,1.6064051817038227,126.56201485352679,0.035043030774666355,50.22,1,1.0
SD,1999,1.0,1e-10,False,2.8100000000000005,2.21,0.5412604790106853,1.6064104568705262,127.07595284942651,0.03719605863364592,50.49,1,1.0
SD,2000,1.0,1e-10,False,2.8100000000000005,2.21,0.5288263470931746,1.6064099111594847,127.89722581319367,0.036992246052979544,51.74,1,1.0
SD,2000,1.0,1e-10,False,2.8100000000000005,2.21,0.5257411112982247,1.6063909328148671,126.9665666266298,0.03839714705957724,51.18,1,1.0
SD,1999,1.0,1e-10,False,3.0100000000000007,2.21,0.5316661641023371,1.6064226304931648,127.98671505330181,0.0352687288139337,50.49,1,1.0
SD,1999,1.0,1e-10,False,3.0100000000000007,2.21,0.5528653071613361,1.6063976530216402,127.51144808941783,0.03825784084212598,51.26,1,1.0
SD,2000,1.0,1e-10,False,3.0100000000000007,2.21,0.5306474928156869,1.6063923248775418,126.2866577789311,0.03929774947238315,51.71,1,1.0
SD,2000,1.0,1e-10,False,3.0100000000000007,2.21,0.5224988056994028,1.6064048199490597,127.54842264581397,0.03594889530801302,50.78,1,1.0
SD,2000,1.0,1e-10,False,3.210000000000001,2.21,0.5344463726963189,1.6064348605763428,129.25956637979093,0.03593474242519091,51.77,1,1.0
SD,2000,1.0,1e-10,False,3.210000000000001,2.21,0.520243460840516,1.6064256031880975,128.6359784687297,0.037985626116505175,51.42,1,1.0
SD,2000,1.0,1e-10,False,3.210000000000001,2.21,0.5128628563075147,1.606417344216433,129.27816060878294,0.04011290331409927,51.84,1,1.0
SD,1998,1.0,1e-10,False,3.210000000000001,2.21,0.5486555984581318,1.606427971695888,128.73395520122006,0.036817653726395054,51.62,1,1.0
SD,2000,1.0,1e-10,False,3.410000000000001,2.21,0.5200613606444299,1.6064136571933736,128.13458015279764,0.037816682865927306,51.27,1,1.0
SD,1999,1.0,1e-10,False,3.410000000000001,2.21,0.5112210137643158,1.6064075420569939,127.8874833903537,0.038638473254029464,50.89,1,1.0
SD,2000,1.0,1e-10,False,3.410000000000001,2.21,0.5299878913104915,1.6064316512555303,130.07785268545686,0.04052556822922296,53.81,1,1.0
SD,1996,1.0,1e-10,False,3.410000000000001,2.21,0.5427172578292301,1.606449975982984,129.30492162821662,0.03653693567695713,52.02,1,1.0
SD,1999,1.0,1e-10,False,3.610000000000001,2.21,0.5435680664755745,1.606428240114244,129.16993481969544,0.038602369161938335,52.41,1,1.0
SD,1998,1.0,1e-10,False,3.610000000000001,2.21,0.5500908849177433,1.6064334415780799,128.88880547645886,0.03759066256205357,51.64,1,1.0
SD,1998,1.0,1e-10,False,3.610000000000001,2.21,0.529001689406029,1.6064386455198458,130.20508597324408,0.036930350741816116,52.57,1,1.0
SD,1998,1.0,1e-10,False,3.610000000000001,2.21,0.5295551897748202,1.6064540385369566,129.7983397395955,0.03633940852064055,51.1,1,1.0
SD,1999,1.0,1e-10,False,3.8100000000000014,2.21,0.5279689453971249,1.6064966466146213,132.85624272995022,0.0365821061165171,53.08,1,1.0
SD,2000,1.0,1e-10,False,3.8100000000000014,2.21,0.5175021585580978,1.60641876832989,128.9464257418613,0.038298804614396345,52.13,1,1.0
SD,1999,1.0,1e-10,False,3.8100000000000014,2.21,0.5303490723892433,1.6064435172134846,129.93202628974095,0.03861243435267361,51.92,1,1.0
SD,2000,1.0,1e-10,False,3.8100000000000014,2.21,0.528894162595274,1.6064755497750058,130.63109002121547,0.034185375771076,51.6,1,1.0
SD,2000,1.0,1e-10,False,4.010000000000002,2.21,0.5250359499578976,1.6064460669837564,131.2817788837,0.03796652029836915,52.65,1,1.0
SD,2000,1.0,1e-10,False,4.010000000000002,2.21,0.5394098913154,1.6064174946648764,129.2616328226879,0.03722182491650517,51.56,1,1.0
